episode:1, reward: -50, mean reward: -4.78, score: -57.349297345650214, epsilon: 0.8855328648569292, total steps: 516
episode:2, reward: -50, mean reward: -16.98, score: -50.929898307739805, epsilon: 0.8854493157479686, total steps: 519
episode:3, reward: -50, mean reward: -17.64, score: -52.90731175372163, epsilon: 0.8853657749935011, total steps: 522
episode:4, reward: -50, mean reward: -3.11, score: -68.32794800897054, epsilon: 0.8847533979908504, total steps: 544
episode:5, reward: -50, mean reward: -4.32, score: -60.519348292431474, epsilon: 0.8843639372863538, total steps: 558
episode:6, reward: -50, mean reward: -4.35, score: -60.83675121610189, epsilon: 0.8839746582877844, total steps: 572
episode:7, reward: -50, mean reward: -3.26, score: -71.6100102203033, epsilon: 0.8833633010634202, total steps: 594
episode:8, reward: -50, mean reward: -17.57, score: -52.720778082165864, epsilon: 0.8832799688999915, total steps: 597
episode:9, reward: -50, mean reward: -4.02, score: -52.26320146367886, epsilon: 0.8829189591378991, total steps: 610
episode:10, reward: -50, mean reward: -5.85, score: -52.651434497610765, epsilon: 0.882669120927763, total steps: 619
episode:11, reward: -50, mean reward: -17.55, score: -52.63991542567129, epsilon: 0.8825858581788771, total steps: 622
episode:12, reward: -50, mean reward: -17.59, score: -52.75848450279226, epsilon: 0.8825026037558497, total steps: 625
episode:13, reward: -50, mean reward: -13.44, score: -53.76482423276758, epsilon: 0.8823916108083765, total steps: 629
episode:14, reward: -50, mean reward: -3.6, score: -61.21151969145453, epsilon: 0.8819200558487755, total steps: 646
episode:15, reward: -50, mean reward: -6.17, score: -55.53638718647386, epsilon: 0.8816705172646799, total steps: 655
episode:16, reward: -50, mean reward: -6.06, score: -60.57746527615964, epsilon: 0.8813933399577093, total steps: 665
episode:17, reward: -50, mean reward: -17.38, score: -52.12944622892549, epsilon: 0.8813102047805418, total steps: 668
episode:18, reward: -50, mean reward: -6.48, score: -58.301698980896774, epsilon: 0.8810608491243261, total steps: 677
episode:19, reward: -50, mean reward: -1.8, score: -88.27625589793092, epsilon: 0.8797045576769621, total steps: 726
episode:20, reward: -50, mean reward: -13.26, score: -53.03571061041269, epsilon: 0.8795939377774291, total steps: 730
episode:21, reward: -50, mean reward: -6.93, score: -55.407024692949705, epsilon: 0.8793727422214067, total steps: 738
episode:22, reward: -50, mean reward: -2.37, score: -75.99367678324808, epsilon: 0.8784885496162611, total steps: 770
episode:23, reward: -50, mean reward: -17.32, score: -51.94969533425632, epsilon: 0.8784057049036043, total steps: 773
episode:24, reward: -50, mean reward: -6.88, score: -55.07078707603203, epsilon: 0.878184826167437, total steps: 781
episode:25, reward: -50, mean reward: -10.41, score: -52.03285332272998, epsilon: 0.8780468068650037, total steps: 786
episode:26, reward: -50, mean reward: -9.31, score: -55.85653811571687, epsilon: 0.8778812140634629, total steps: 792
episode:27, reward: -50, mean reward: -10.38, score: -51.90222043258167, epsilon: 0.8777432453588303, total steps: 797
episode:28, reward: -50, mean reward: -17.1, score: -51.29306098105748, epsilon: 0.8776604751728728, total steps: 800
episode:29, reward: -50, mean reward: -2.44, score: -75.64000237032558, epsilon: 0.8768056677417623, total steps: 831
episode:30, reward: -50, mean reward: -2.51, score: -62.84016548029972, epsilon: 0.8761169500242162, total steps: 856
episode:31, reward: -50, mean reward: -3.87, score: -57.98631855081332, epsilon: 0.8757039947966141, total steps: 871
episode:32, reward: -50, mean reward: -10.76, score: -53.815767512601894, epsilon: 0.875566388931622, total steps: 876
episode:33, reward: -50, mean reward: -6.86, score: -54.856492224512394, epsilon: 0.8753462672454361, total steps: 884
episode:34, reward: -50, mean reward: -17.31, score: -51.940664261764255, epsilon: 0.8752637367453053, total steps: 887
episode:35, reward: -50, mean reward: -13.52, score: -54.07835183845087, epsilon: 0.8751537089157577, total steps: 891
episode:36, reward: -50, mean reward: -17.31, score: -51.93916539590964, epsilon: 0.8750711976704971, total steps: 894
episode:37, reward: -50, mean reward: -7.84, score: -54.89578453839023, epsilon: 0.874878703516232, total steps: 901
episode:38, reward: -50, mean reward: -17.31, score: -51.93824588208345, epsilon: 0.8747962197701363, total steps: 904
episode:39, reward: -50, mean reward: -7.9, score: -55.30924971563401, epsilon: 0.8746037897698964, total steps: 911
episode:40, reward: -50, mean reward: -17.16, score: -51.48273852512672, epsilon: 0.8745213335138009, total steps: 914
episode:41, reward: -50, mean reward: -13.14, score: -52.56946181555472, epsilon: 0.874411404664752, total steps: 918
episode:42, reward: -50, mean reward: -9.03, score: -54.15597703515671, epsilon: 0.8742465388709478, total steps: 924
